#u(y) GHIA
#y	#100		#400		#1000		#3200

1.0	1.0		1.0		1.0		1.0
0.9766	0.84123		0.75837		0.65928		0.53236
0.9688	0.78871		0.68439		0.57492		0.48296
0.9609	0.73722		0.61756		0.51117		0.46547
0.9531	0.68717		0.55892		0.46604		0.46101
0.8516	0.23151		0.29093		0.33304		0.34682
0.7344	0.00332		0.16256		0.18719		0.19791
0.6172	-0.13641	0.02135		0.05702		0.07156
0.5	-0.20581	-0.11477	-0.06080	-0.04272
#0.4531	-0.21090	-0.17119	-0.010648	-0.86636
0.2813	-0.15662	-0.32726	-0.27805	-0.24427
0.1719	-0.10150	-0.24299	-0.38289	-0.34323
0.1016	-0.06434	-0.14612	-0.29730	-0.41933
0.0703	-0.04775	-0.10338	-0.22220	-0.37827
0.0625	-0.04192	-0.09266	-0.20196	-0.35344
0.0547	-0.03717	-0.08186	-0.18109	-0.32407
0.0	0.0		0.0		0.0		0.0
