#v(x) GHIA
#x	#100		#400		#1000		#3200

1.0	0.0		0.0		0.0		0.0
0.9688	-0.05906	-0.12146	-0.21388	-0.39017
0.9609	-0.07391	-0.15663	-0.27669	-0.47425
0.9531	-0.08864	-0.19254	-0.33714	-0.52357
0.9453	-0.10313	-0.22847	-0.39188	-0.54053
#0.9063	-0.16914	-0.23827	-0.51550	-0.44307
0.8594	-0.22445	-0.44993	-0.42665	-0.37401
0.8047	-0.24533	-0.38598	-0.31966	-0.31184
0.5	0.05454		0.05186		0.02526		0.00999
0.2344	0.17527		0.30174		0.32235		0.28188
0.2266	0.17507		0.30203		0.33075		0.29030
0.1563	0.16077		0.28124		0.37095		0.37119
0.0938	0.12317		0.22965		0.32627		0.42768
0.0781	0.10890		0.20920		0.30353		0.41906
0.0703	0.10091		0.19713		0.29012		0.40917
0.0625	0.09233		0.18360		0.27485		0.39560
0.0	0.0		0.0		0.0		0.0
